ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
KEOK,small_airport,Keokuk Municipal Airport,671,NA,US,US-IA,Keokuk,KEOK,EOK,EOK,"-91.4284973145, 40.459899902299995"
SVED,medium_airport,El Dorado Airport,318,SA,VE,VE-F,Bolivar,SVED,EOR,,"-61.58333206176758, 6.733333110809326"
SVEZ,medium_airport,Elorza Airport,295,SA,VE,VE-C,,SVEZ,EOZ,,"-69.53333282470703, 7.0833330154418945"
SADP,medium_airport,El Palomar Airport,59,SA,AR,AR-B,El Palomar,SADP,EPA,PAL,"-58.6126, -34.6099"
NE69,small_airport,Browns Airport,1183,NA,US,US-NE,Weeping Water,NE69,EPG,NE69,"-96.1100006104, 40.8675003052"
KEPH,small_airport,Ephrata Municipal Airport,1276,NA,US,US-WA,Ephrata,KEPH,EPH,EPH,"-119.5159988, 47.30759811"
LFSG,medium_airport,Ãpinal-Mirecourt Airport,1084,EU,FR,FR-M,Ãpinal/Mirecourt,LFSG,EPL,,"6.06998, 48.325001"
YESP,medium_airport,Esperance Airport,470,OC,AU,AU-WA,Esperance,YESP,EPR,,"121.822998, -33.684399"
MDPO,small_airport,Samana El Portillo Airport,30,NA,DO,DO-20,Samana,MDPO,EPS,,"-69.4959121943, 19.3214150435"
AYEL,small_airport,Eliptamin Airport,4825,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP,"141.6779, -5.0412"
EEPU,medium_airport,PÃ¤rnu Airport,47,EU,EE,EE-67,PÃ¤rnu,EEPU,EPU,,"24.47279930114746, 58.41899871826172"
SAVE,medium_airport,Brigadier Antonio Parodi Airport,2621,SA,AR,AR-U,Esquel,SAVE,EQS,ESQ,"-71.139503479, -42.908000946"
HCMU,small_airport,Erigavo Airport,5720,AF,SO,SO-SA,Erigavo,HCMU,ERA,,"47.3879814148, 10.642050549"
YERN,small_airport,Ernabella Airport,707,OC,AU,AU-SA,,YERN,ERB,,"132.1820068359375, -26.2632999420166"
LTCD,medium_airport,Erzincan Airport,3783,AS,TR,TR-24,Erzincan,LTCD,ERC,,"39.527000427199994, 39.7102012634"
UKDB,closed,Berdyansk Airport,171,EU,UA,UA-23,Berdyansk,UKDB,ERD,,"36.758099, 46.814999"
PG-0007,small_airport,Erave Airport,3650,OC,PG,PG-SHM,Erave,AYEV,ERE,ERV,"143.900213242, -6.60646315446"
EDDE,medium_airport,Erfurt Airport,1036,EU,DE,DE-TH,Erfurt,EDDE,ERF,,"10.958100318908691, 50.979801177978516"
UIKE,small_airport,Yerbogachen Airport,400,AS,RU,RU-IRK,Erbogachen,UIKE,ERG,,"108.029998779, 61.2750015259"
GMFK,medium_airport,Moulay Ali Cherif Airport,3428,AF,MA,MA-ERR,Errachidia,GMFK,ERH,,"-4.39833021164, 31.9475002289"
KERI,large_airport,Erie International Tom Ridge Field,732,NA,US,US-PA,Erie,KERI,ERI,ERI,"-80.1738667488, 42.0831270134"
ZBER,medium_airport,Erenhot Saiwusu International Airport,3301,AS,CN,CN-15,Erenhot,ZBER,ERL,,"112.096667, 43.4225"
SSER,small_airport,Erechim Airport,2498,SA,BR,BR-RS,Erechim,SSER,ERM,SSER,"-52.2682991027832, -27.66189956665039"
SWEI,small_airport,EirunepÃ© Airport,412,SA,BR,BR-AM,EirunepÃ©,SWEI,ERN,SWEI,"-69.87979888916016, -6.639530181884766"
YESE,small_airport,Elrose Airport,645,OC,AU,AU-QLD,Elrose Mine,YESE,ERQ,YESE,"141.0066, -20.9764"
KERR,small_airport,Errol Airport,1245,NA,US,US-NH,Errol,KERR,ERR,ERR,"-71.1641998291, 44.7924995422"
FYWE,medium_airport,Eros Airport,5575,AF,NA,NA-KH,Windhoek,FYWE,ERS,,"17.080400466918945, -22.612199783325195"
ERT,small_airport,Erdenet Airport,4200,AS,MN,MN-035,Erdenet,,ERT,,"104.150555556, 48.9830555556"
AYER,small_airport,Erume Airport,6690,OC,PG,PG-CPM,Erume,AYER,ERU,EME,"146.9747, -8.2538"
KERV,small_airport,Kerrville Municipal Louis Schreiner Field,1617,NA,US,US-TX,Kerrville,KERV,ERV,ERV,"-99.08570098879999, 29.9766998291"
LTCE,large_airport,Erzurum International Airport,5763,AS,TR,TR-25,Erzurum,LTCE,ERZ,,"41.17020034789999, 39.9565010071"
PG-0008,small_airport,Esa'ala Airport,10,OC,PG,PG-MBA,Esa'ala,,ESA,ESA,"150.954208374, -9.874327023180001"
LTAC,large_airport,EsenboÄa International Airport,3125,AS,TR,TR-06,Ankara,LTAC,ESB,,"32.995098114, 40.128101348899996"
KESC,small_airport,Delta County Airport,609,NA,US,US-MI,Escanaba,KESC,ESC,ESC,"-87.0936965942, 45.7226982117"
KORS,small_airport,Orcas Island Airport,31,NA,US,US-WA,Eastsound,KORS,ESD,ORS,"-122.910003662, 48.7081985474"
MMES,small_airport,Ensenada International Airport,66,NA,MX,MX-BCN,Ensenada,MMES,ESE,ENS,"-116.602997, 31.7953"
KESF,medium_airport,Esler Regional Airport,112,NA,US,US-LA,Alexandria,KESF,ESF,ESF,"-92.2957992554, 31.3948993683"
SGME,medium_airport,Dr. Luis Maria ArgaÃ±a International Airport,553,SA,PY,PY-19,Mariscal Estigarribia,SGME,ESG,,"-60.619998931884766, -22.049999237060547"
EGKA,medium_airport,Shoreham Airport,7,EU,GB,GB-ENG,Brighton,EGKA,ESH,,"-0.297222, 50.835602"
SBEP,small_airport,Espinosa Airport,1900,SA,BR,BR-MG,Espinosa,SBEP,ESI,,"-42.81, -14.9336944444"
LTBI,medium_airport,EskiÅehir Air Base,2581,AS,TR,TR-26,,LTBI,ESK,,"30.582099914599997, 39.7840995789"
URWI,medium_airport,Elista Airport,501,EU,RU,RU-KL,Elista,URWI,ESL,,"44.33089828491211, 46.3739013671875"
SETN,small_airport,General Rivadeneira Airport,32,SA,EC,EC-E,Tachina,SETN,ESM,,"-79.62660217285156, 0.9785190224647522"
KESN,small_airport,Easton Newnam Field,72,NA,US,US-MD,Easton,KESN,ESN,ESN,"-76.06900024410001, 38.8041992188"
KE14,small_airport,Ohkay Owingeh Airport,5790,NA,US,US-NM,Espanola,E14,ESO,E14,"-106.04599762, 36.0299987793"
ESP,closed,Birchwood-Pocono Airport,965,NA,US,US-PA,East Stroudsburg,,ESP,,"-75.2521, 41.0643"
KN53,small_airport,Stroudsburg Pocono Airport,480,NA,US,US-PA,East Stroudsburg,KN53,ESP,N53,"-75.1605987549, 41.0358009338"
SCES,medium_airport,Ricardo GarcÃ­a Posada Airport,5240,SA,CL,CL-AT,El Salvador,SCES,ESR,,"-69.76519775390625, -26.311100006103516"
EDLE,small_airport,Essen Mulheim Airport,424,EU,DE,DE-NW,,EDLE,ESS,,"6.9373297691345215, 51.40230178833008"
KEST,small_airport,Estherville Municipal Airport,1319,NA,US,US-IA,Estherville,KEST,EST,EST,"-94.74639893, 43.40739822"
GMMI,small_airport,Mogador Airport,384,AF,MA,MA-ESI,Essaouira,GMMI,ESU,,"-9.6816701889, 31.3974990845"
KESW,small_airport,Easton State Airport,2226,NA,US,US-WA,Easton,KESW,ESW,ESW,"-121.185997009, 47.2541999817"
KETB,small_airport,West Bend Municipal Airport,887,NA,US,US-WI,West Bend,KETB,ETB,ETB,"-88.1278991699, 43.4221992493"
YEDA,small_airport,Etadunna Airport,,OC,AU,AU-SA,Etadunna,YEDA,ETD,,"138.58900451660156, -28.740800857543945"
HAMM,small_airport,Metema Airport,2650,AF,ET,ET-AM,Metema,HAMM,ETE,,"36.1669998169, 12.932999610899998"
LLET,closed,Eilat Airport,42,AS,IL,IL-D,Eilat,LLET,ETH,,"34.960098, 29.5613"
UHTQ,small_airport,Svetlaya Airport,131,EU,RU,RU-PRI,Svetlaya,UHTQ,ETL,,"138.321703, 46.541704"
LLER,medium_airport,Ramon Airport,288,AS,IL,IL-D,Eilat,LLER,ETM,,"35.011416, 29.723694"
KETN,small_airport,Eastland Municipal Airport,1464,NA,US,US-TX,Eastland,KETN,ETN,ETN,"-98.80979919430001, 32.4135017395"
SERO,medium_airport,Santa Rosa International Airport,20,SA,EC,EC-O,Santa Rosa,SERO,ETR,,"-79.996957, -3.441986"
KEDN,small_airport,Enterprise Municipal Airport,361,NA,US,US-AL,Enterprise,KEDN,ETS,EDN,"-85.89990234, 31.29969978"
LFJL,medium_airport,Metz-Nancy-Lorraine Airport,870,EU,FR,FR-M,Metz / Nancy,LFJL,ETZ,,"6.25131988525, 48.9821014404"
NFTE,small_airport,Kaufana Airport,325,OC,TO,TO-01,Eua Island,NFTE,EUA,,"-174.957992554, -21.378299713100002"
YECL,small_airport,Eucla Airport,,OC,AU,AU-WA,,YECL,EUC,,"128.88299560546875, -31.700000762939453"
K05U,small_airport,Eureka Airport,5954,NA,US,US-NV,Eureka,05U,EUE,05U,"-116.004997253, 39.604198455799995"
KEUF,small_airport,Weedon Field,285,NA,US,US-AL,Eufaula,KEUF,EUF,EUF,"-85.1288986206, 31.9512996674"
KEUG,medium_airport,Mahlon Sweet Field,374,NA,US,US-OR,Eugene,KEUG,EUG,EUG,"-123.21199798583984, 44.12459945678711"
EDHN,small_airport,NeumÃ¼nster Airport,72,EU,DE,DE-SH,NeumÃ¼nster,EDHN,EUM,,"9.941389083862305, 54.079444885253906"
GMML,medium_airport,Hassan I Airport,207,AF,EH,EH-U-A,El AaiÃºn,GMML,EUN,,"-13.2192, 27.151699"
SK-115,small_airport,Paratebueno Airport,820,SA,CO,CO-CAS,Paratebueno,,EUO,EUO,"-73.2, 4.383333"
RPVS,medium_airport,Evelio Javier Airport,23,AS,PH,PH-ANT,San Jose,RPVS,EUQ,,"121.932998657, 10.765999794"
TNCE,medium_airport,F. D. Roosevelt Airport,129,NA,BQ,BQ-U-A,Sint Eustatius,TNCE,EUX,,"-62.979400634765625, 17.49650001525879"
4TE8,closed,Ben Bruce Memorial Airpark,44,NA,US,US-TX,Evadale,4TE8,EVA,4TE8,"-94.07350158690001, 30.3209991455"
YEVA,small_airport,Eva Downs Airport,,OC,AU,AU-NT,Eva Downs,YEVA,EVD,,"134.863006592, -18.0009994507"
ENEV,medium_airport,"Harstad/Narvik Airport, Evenes",84,EU,NO,NO-18,Evenes,ENEV,EVE,,"16.678100585938, 68.491302490234"
ESND,medium_airport,Sveg Airport,1178,EU,SE,SE-Z,,ESND,EVG,,"14.422900199890137, 62.04779815673828"
YEVD,small_airport,Evans Head Aerodrome,20,OC,AU,AU-NSW,,YEVD,EVH,,"153.4199981689453, -29.093299865722656"
KEVM,small_airport,Eveleth Virginia Municipal Airport,1379,NA,US,US-MN,Eveleth,KEVM,EVM,EVM,"-92.49849701, 47.42509842"
UDYZ,large_airport,Zvartnots International Airport,2838,AS,AM,AM-ER,Yerevan,UDYZ,EVN,,"44.3959007263, 40.1473007202"
KEVV,medium_airport,Evansville Regional Airport,418,NA,US,US-IN,Evansville,KEVV,EVV,EVV,"-87.5324020386, 38.0369987488"
KEVW,medium_airport,Evanston-Uinta County Airport-Burns Field,7143,NA,US,US-WY,Evanston,KEVW,EVW,EVW,"-111.0350037, 41.27479935"
LFOE,medium_airport,Ãvreux-Fauville (BA 105) Air Base,464,EU,FR,FR-Q,Ãvreux/Fauville,LFOE,EVX,,"1.2198599576950073, 49.02870178222656"
KEWB,medium_airport,New Bedford Regional Airport,80,NA,US,US-MA,New Bedford,KEWB,EWB,EWB,"-70.95690155029297, 41.67610168457031"
ID-EWE,small_airport,Ewer Airport,27,AS,ID,ID-PA,Asmat,,EWE,,"138.083, -5.494"
WABT,small_airport,Enarotali Airport,5807,AS,ID,ID-PA,Enarotali-Papua Island,WABT,EWI,,"136.3769989013672, -3.9258999824523926"
KEWK,small_airport,Newton City-County Airport,1533,NA,US,US-KS,Newton,KEWK,EWK,EWK,"-97.2744979858, 38.058200836199994"
KEWN,medium_airport,Coastal Carolina Regional Airport,18,NA,US,US-NC,New Bern,KEWN,EWN,EWN,"-77.04290008539999, 35.0730018616"
FCOE,small_airport,Ewo Airport,1503,AF,CG,CG-8,Ewo,FCOE,EWO,,"14.800000190734863, -0.8830000162124634"
KEWR,large_airport,Newark Liberty International Airport,18,NA,US,US-NJ,Newark,KEWR,EWR,EWR,"-74.168701171875, 40.692501068115234"
EWY,closed,RAF Greenham Common,400,EU,GB,GB-ENG,Berkshire,EGVI,EWY,,"-1.281, 51.379"
EXI,seaplane_base,Excursion Inlet Seaplane Base,0,NA,US,US-AK,Excursion Inlet,,EXI,EXI,"-135.449005, 58.420502"
YEXM,small_airport,Exmouth Airport,,OC,AU,AU-WA,,YEXM,EXM,,"114.0999984741211, -22.033300399780273"
EGTE,large_airport,Exeter International Airport,102,EU,GB,GB-ENG,Exeter,EGTE,EXT,,"-3.4138898849487305, 50.73440170288086"
USHY,medium_airport,Beloyarskiy Airport,82,EU,RU,RU-KHM,,USHQ,EYK,,"66.698601, 63.686901"
GAYE,small_airport,YÃ©limanÃ© Airport,325,AF,ML,ML-1,YÃ©limanÃ©,GAYE,EYL,,"-10.567000389099121, 15.133000373840332"
SKYP,medium_airport,El Yopal Airport,1028,SA,CO,CO-CAS,El Yopal,SKYP,EYP,EYP,"-72.384, 5.31911"
KO43,small_airport,Yerington Municipal Airport,4378,NA,US,US-NV,Yerington,O43,EYR,O43,"-119.157997131, 39.0041007996"
HKES,small_airport,Eliye Springs Airport,1395,AF,KE,KE-700,Eliye Springs,HKES,EYS,,"35.96670150756836, 3.216670036315918"
KEYW,medium_airport,Key West International Airport,3,NA,US,US-FL,Key West,KEYW,EYW,EYW,"-81.75959777832031, 24.556100845336914"
SAEZ,large_airport,Ministro Pistarini International Airport,67,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,"-58.5358, -34.8222"
LTCA,medium_airport,ElazÄ±Ä Airport,2927,AS,TR,TR-23,ElazÄ±Ä,LTCA,EZS,,"39.2914009094, 38.6068992615"
USHB,medium_airport,Berezovo Airport,98,AS,RU,RU-KHM,,USHB,EZV,,"65.03050231933594, 63.92100143432617"
GUFH,small_airport,Faranah Airport,1476,AF,GN,GN-F,Faranah,GUFH,FAA,,"-10.7698001862, 10.0354995728"
EGLF,medium_airport,Farnborough Airport,238,EU,GB,GB-ENG,Farnborough,EGLF,FAB,,"-0.776332974434, 51.2757987976"
NTKF,small_airport,Faaite Airport,7,OC,PF,PF-U-A,,NTKF,FAC,,"-145.32899475097656, -16.68670082092285"
EKVG,medium_airport,Vagar Airport,280,EU,FO,FO-U-A,Vagar,EKVG,FAE,,"-7.277219772338867, 62.0635986328125"
KFAF,medium_airport,Felker Army Air Field,12,NA,US,US-VA,Fort Eustis,KFAF,FAF,FAF,"-76.60880279540001, 37.132499694799996"
BIFM,small_airport,FagurhÃ³lsmÃ½ri Airport,56,EU,IS,IS-7,FagurhÃ³lsmÃ½ri,BIFM,FAG,,"-16.64109992980957, 63.874698638916016"
OAFR,small_airport,Farah Airport,3083,AS,AF,AF-FRA,Farah,OAFR,FAH,,"62.18299865722656, 32.367000579833984"
PAFA,large_airport,Fairbanks International Airport,439,NA,US,US-AK,Fairbanks,PAFA,FAI,FAI,"-147.8560028, 64.81510162"
TJFA,medium_airport,Diego Jimenez Torres Airport,64,NA,PR,PR-U-A,Fajardo,TJFA,FAJ,X95,"-65.66190338134766, 18.308900833129883"
2Z6,seaplane_base,False Island Seaplane Base,,NA,US,US-AK,False Island,2Z6,FAK,2Z6,"-135.212997437, 57.5321998596"
FAL,closed,Falcon State Airport,358,NA,US,US-TX,Roma,,FAL,,"-99.13985, 26.5856"
KFAM,small_airport,Farmington Regional Airport,946,NA,US,US-MO,Farmington,KFAM,FAM,FAM,"-90.4285965, 37.76110077"
ENLI,small_airport,Lista Airport,29,EU,NO,NO-10,Farsund,ENLI,FAN,,"6.626049995422363, 58.0994987487793"
LPFR,large_airport,Faro Airport,24,EU,PT,PT-08,Faro,LPFR,FAO,,"-7.96590995789, 37.0144004822"
AYFR,small_airport,Frieda River Airport,217,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR,"141.960138, -4.610468"
KFAR,medium_airport,Hector International Airport,902,NA,US,US-ND,Fargo,KFAR,FAR,FAR,"-96.81580352783203, 46.92070007324219"
BIFF,small_airport,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,15,EU,IS,IS-7,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur,BIFF,FAS,,"-14.0606002808, 64.9317016602"
KFAT,medium_airport,Fresno Yosemite International Airport,336,NA,US,US-CA,Fresno,KFAT,FAT,FAT,"-119.71800231933594, 36.77619934082031"
OOFD,small_airport,Fahud Airport,552,AS,OM,OM-ZA,Fahud,OOFD,FAU,,"56.4841461182, 22.354759318"
NTGF,medium_airport,Fakarava Airport,13,OC,PF,PF-U-A,,NTGF,FAV,,"-145.65699768066406, -16.054100036621094"
KFAY,medium_airport,Fayetteville Regional Grannis Field,189,NA,US,US-NC,Fayetteville,KFAY,FAY,FAY,"-78.88030242919922, 34.9911994934082"
OISF,medium_airport,Fasa Airport,4261,AS,IR,IR-14,Fasa,OISF,FAZ,,"53.72330093383789, 28.891799926757812"
SWOB,small_airport,Fonte Boa Airport,207,SA,BR,BR-AM,Fonte Boa,SWOB,FBA,SWOB,"-66.0831985474, -2.5326099395800004"
OAFZ,small_airport,Fayzabad Airport,3872,AS,AF,AF-BDS,Fayzabad,OAFZ,FBD,,"70.518097, 37.121101"
SSFB,small_airport,Francisco BeltrÃ£o Airport,2100,SA,BR,BR-PR,Francisco BeltrÃ£o,SSFB,FBE,SSFB,"-53.063499450683594, -26.059200286865234"
KFBG,medium_airport,Simmons Army Air Field,244,NA,US,US-NC,Fort Bragg,KFBG,FBG,FBG,"-78.93669891, 35.13180161"
PAFB,medium_airport,Ladd AAF Airfield,454,NA,US,US-AK,Fairbanks/Ft Wainwright,PAFB,FBK,FBK,"-147.6139984, 64.83750153"
KFBL,small_airport,Faribault Municipal Airport-Liz Wall Strohfus Field,1060,NA,US,US-MN,Faribault,KFBL,FBL,FBL,"-93.312534, 44.32844"
FZQA,medium_airport,Lubumbashi International Airport,4295,AF,CD,CD-KA,Lubumbashi,FZQA,FBM,,"27.5308990479, -11.5913000107"
KFBR,small_airport,Fort Bridger Airport,7034,NA,US,US-WY,Fort Bridger,KFBR,FBR,FBR,"-110.406997681, 41.3918991089"
W33,seaplane_base,Friday Harbor Seaplane Base,,NA,US,US-WA,Friday Harbor,W33,FBS,W33,"-123.010002136, 48.537300109899995"
ENFB,closed,"Oslo, Fornebu Airport",,EU,NO,NO-03,Oslo,ENFB,FBU,,"10.617199897766113, 59.89580154418945"
KFBY,small_airport,Fairbury Municipal Airport,1479,NA,US,US-NE,Fairbury,KFBY,FBY,FBY,"-97.16929626459999, 40.182998657199995"
KGPI,medium_airport,Glacier Park International Airport,2977,NA,US,US-MT,Kalispell,KGPI,FCA,GPI,"-114.25599670410156, 48.31050109863281"
FAFB,medium_airport,Ficksburg Sentraoes Airport,5315,AF,ZA,ZA-FS,Ficksburg,FAFB,FCB,,"27.908899307250977, -28.82309913635254"
KFCH,small_airport,Fresno Chandler Executive Airport,279,NA,US,US-CA,Fresno,KFCH,FCH,FCH,"-119.8199997, 36.73239899"
KFCM,small_airport,Flying Cloud Airport,906,NA,US,US-MN,Minneapolis,KFCM,FCM,FCM,"-93.45709991460001, 44.8272018433"
ETMN,medium_airport,Nordholz Naval Airbase,74,EU,DE,DE-NI,Cuxhaven,ETMN,FCN,,"8.658499717709999, 53.7677001953"
LIRF,large_airport,Leonardo da VinciâFiumicino Airport,13,EU,IT,IT-62,Rome,LIRF,FCO,RM11,"12.2388889, 41.8002778"
KFCS,medium_airport,Butts AAF (Fort Carson) Air Field,5838,NA,US,US-CO,Fort Carson,KFCS,FCS,FCS,"-104.7570038, 38.67839813"
KFCY,small_airport,Forrest City Municipal Airport,249,NA,US,US-AR,Forrest City,KFCY,FCY,FCY,"-90.7750015259, 34.942001342800005"
SKFU,small_airport,FundaciÃ³n Airport,150,SA,CO,CO-MAG,FundaciÃ³n,SKFU,FDA,FDA,"-74.2, 10.5333"
ENBL,small_airport,FÃ¸rde Airport,1046,EU,NO,NO-14,FÃ¸rde,ENBL,FDE,,"5.7569398880005, 61.391101837158"
TFFF,medium_airport,Martinique AimÃ© CÃ©saire International Airport,16,NA,MQ,MQ-U-A,Fort-de-France,TFFF,FDF,,"-61.00320053100586, 14.590999603271484"
EDNY,medium_airport,Friedrichshafen Airport,1367,EU,DE,DE-BW,Friedrichshafen,EDNY,FDH,,"9.51148986816, 47.671298980699994"
KFDK,small_airport,Frederick Municipal Airport,303,NA,US,US-MD,Frederick,KFDK,FDK,FDK,"-77.3742980957, 39.417598724399994"
SADF,medium_airport,San Fernando Airport,10,SA,AR,AR-B,San Fernando,SADF,FDO,FDO,"-58.5896, -34.4532"
KFDR,small_airport,Frederick Regional Airport,1258,NA,US,US-OK,Frederick,KFDR,FDR,FDR,"-98.98390198, 34.35200119"
FZBO,medium_airport,Bandundu Airport,1063,AF,CD,CD-BN,,FZBO,FDU,,"17.38170051574707, -3.3113200664520264"
KFDY,medium_airport,Findlay Airport,813,NA,US,US-OH,Findlay,KFDY,FDY,FDY,"-83.66870117190001, 41.013500213600004"
FEA,small_airport,Fetlar Airport,263,EU,GB,GB-SCT,Fetlar Island,,FEA,,"-0.872777777778, 60.6033333333"
VNSR,small_airport,Sanfebagar Airport,2280,AS,NP,NP-SE,Sanfebagar,VNSR,FEB,,"81.215317, 29.236629"
SNJD,small_airport,JoÃ£o Durval Carneiro Airport,768,SA,BR,BR-BA,Feira De Santana,SDIY,FEC,BA0013,"-38.906799, -12.2003"
UTKF,small_airport,Fergana International Airport,1980,AS,UZ,UZ-FA,Fergana,UTFF,FEG,,"71.7450027466, 40.358798980699994"
SNOU,small_airport,FeijÃ³ Airport,394,SA,BR,BR-AC,FeijÃ³,SNOU,FEJ,,"-70.347221374512, -8.140832901001"
DIFK,small_airport,Ferkessedougou Airport,1102,AF,CI,CI-03,Ferkessedougou,DIFK,FEK,,"-5.1833333, 9.6"
ETSF,medium_airport,FÃ¼rstenfeldbruck Air Base,1703,EU,DE,DE-BY,FÃ¼rstenfeldbruck,ETSF,FEL,,"11.266944, 48.205555"
SBFN,medium_airport,Fernando de Noronha Airport,193,SA,BR,BR-PE,Fernando De Noronha,SBFN,FEN,,"-32.423302, -3.85493"
KFEP,small_airport,Albertus Airport,859,NA,US,US-IL,Freeport,KFEP,FEP,FEP,"-89.58200073239999, 42.2462005615"
KFET,small_airport,Fremont Municipal Airport,1204,NA,US,US-NE,Fremont,KFET,FET,FET,"-96.52020264, 41.44910049"
GMFF,medium_airport,SaÃ¯ss Airport,1900,AF,MA,MA-FES,Fes,GMFF,FEZ,,"-4.977960109709999, 33.9272994995"
KFFA,small_airport,First Flight Airport,13,NA,US,US-NC,Kill Devil Hills,KFFA,FFA,FFA,"-75.67130279540001, 36.0181999207"
EGVA,large_airport,RAF Fairford,286,EU,GB,GB-ENG,Fairford,EGVA,FFD,,"-1.7900300025900002, 51.6822013855"
KFFL,small_airport,Fairfield Municipal Airport,799,NA,US,US-IA,Fairfield,KFFL,FFL,FFL,"-91.9788970947, 41.0532989502"
KFFM,small_airport,Fergus Falls Municipal Airport - Einar Mickelson Field,1183,NA,US,US-MN,Fergus Falls,KFFM,FFM,FFM,"-96.15670013, 46.28440094"
KFFO,large_airport,Wright-Patterson Air Force Base,823,NA,US,US-OH,Dayton,KFFO,FFO,FFO,"-84.0483016968, 39.8260993958"
KFFT,small_airport,Capital City Airport,806,NA,US,US-KY,Frankfort,KFFT,FFT,FFT,"-84.90470123, 38.18249893"
SCFT,small_airport,FutaleufÃº Airport,1148,SA,CL,CL-LL,Futaleufu,SCFT,FFU,,"-71.8510971069336, -43.18920135498047"
GQPF,small_airport,Fderik Airport,961,AF,MR,MR-11,Fderik,GQPF,FGD,,"-12.732999801635742, 22.66699981689453"
NSFI,small_airport,Fagali'i Airport,131,OC,WS,WS-TU,Apia,NSFI,FGI,,"-171.740005493, -13.848699569699999"
NTGB,medium_airport,Fangatau Airport,9,OC,PF,PF-U-A,,NTGB,FGU,,"-140.88699340820312, -15.819899559020996"
KFHU,medium_airport,Sierra Vista Municipal Libby Army Air Field,4719,NA,US,US-AZ,Fort Huachuca Sierra Vista,KFHU,FHU,FHU,"-110.34400177001953, 31.588499069213867"
NTKH,small_airport,Fakahina Airport,3,OC,PF,PF-U-A,Fakahina,NTKH,FHZ,,"-140.1649932861328, -15.992199897766113"
K0B8,small_airport,Elizabeth Field,9,NA,US,US-NY,Fishers Island,0B8,FID,0B8,"-72.0316009521, 41.25130081179999"
EGEF,medium_airport,Fair Isle Airport,223,EU,GB,GB-SCT,Fair Isle,EGEF,FIE,,"-1.628059983253479, 59.53580093383789"
GUFA,small_airport,Fria Airport,499,AF,GN,GN-B,Fria,GUFA,FIG,,"-13.569199562073, 10.350600242615"
FZAA,large_airport,Ndjili International Airport,1027,AF,CD,CD-KN,Kinshasa,FZAA,FIH,,"15.4446, -4.38575"
YFNE,small_airport,Finke Airport,,OC,AU,AU-NT,Finke,YFNE,FIK,,"134.582992554, -25.5946998596"
KFOM,small_airport,Fillmore Municipal Airport,4985,NA,US,US-UT,Fillmore,KFOM,FIL,FOM,"-112.362999, 38.95830154"
FIN,small_airport,Finschhafen Airport,60,OC,PG,PG-MPL,Buki,AYFI,FIN,FIN,"147.85405, -6.621750109"
YFTZ,medium_airport,Fitzroy Crossing Airport,368,OC,AU,AU-WA,,YFTZ,FIZ,,"125.55899810791016, -18.181900024414062"
OMFJ,medium_airport,Fujairah International Airport,152,AS,AE,AE-FU,,OMFJ,FJR,,"56.32400131225586, 25.112199783325195"
EDSB,large_airport,Karlsruhe Baden-Baden Airport,408,EU,DE,DE-BW,Baden-Baden,EDSB,FKB,,"8.08049964905, 48.7793998718"
FZIC,medium_airport,Bangoka International Airport,1417,AF,CD,CD-OR,Kisangani,FZIC,FKI,,"25.3379993439, 0.481638997793"
RJNF,medium_airport,Fukui Airport,19,AS,JP,JP-18,,RJNF,FKJ,,"136.223999023, 36.1427993774"
KFKL,medium_airport,Venango Regional Airport,1540,NA,US,US-PA,Franklin,KFKL,FKL,FKL,"-79.8603973389, 41.3778991699"
KFKN,small_airport,Franklin Municipal-John Beverly Rose Airport,41,NA,US,US-VA,Franklin,KFKN,FKN,FKN,"-76.9038009644, 36.6981010437"
WASF,medium_airport,Fakfak Airport,462,AS,ID,ID-PB,Fakfak-Papua Island,WASF,FKQ,,"132.26699829101562, -2.9201900959014893"
RJSF,medium_airport,Fukushima Airport,1221,AS,JP,JP-07,Sukagawa,RJSF,FKS,,"140.43099975585938, 37.22740173339844"
SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,803,SA,CO,CO-CAQ,Florencia,SKFL,FLA,FLA,"-75.5644, 1.58919"
SNQG,small_airport,Cangapara Airport,689,SA,BR,BR-PI,Floriano,SNQG,FLB,SNQG,"-43.077301025390625, -6.8463897705078125"
KFLD,small_airport,Fond du Lac County Airport,808,NA,US,US-WI,Fond du Lac,KFLD,FLD,FLD,"-88.48840332030001, 43.7711982727"
FLE,closed,Fort Lee Army Airfield,96,NA,US,US-VA,Fort Lee,,FLE,,"-77.3448, 37.284"
EDXF,small_airport,Flensburg-SchÃ¤ferhaus Airport,131,EU,DE,DE-SH,Flensburg,EDXF,FLF,,"9.378889083862305, 54.77333450317383"
KFLG,medium_airport,Flagstaff Pulliam Airport,7014,NA,US,US-AZ,Flagstaff,KFLG,FLG,FLG,"-111.6709976, 35.13850021"
GB-FLH,small_airport,Flotta Isle Airport,50,EU,GB,GB-SCT,Flotta Isle,EGZR,FLH,,"-3.1427800655365, 58.825801849365"
